finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
690781810;690784178;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;73.72;58.8;MCO_48H
690781810;690784186;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;74.45;66.2;MCO_48H
690781810;690784194;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;80.62;84.1;MCO_48H
690781810;690784202;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;;;MCO_48H
690781810;690787429;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;;;MCO_48H
690791082;690791082;Auvergne-Rhône-Alpes;CLINIQUE LES BRUYERES;;;MCO_48H
690793468;690793468;Auvergne-Rhône-Alpes;INFIRMERIE PROTESTANTE;77.43;75.9;MCO_48H
690805361;690805361;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER SAINT JOSEPH SAINT LUC;75.02;65.7;MCO_48H
690807367;690807367;Auvergne-Rhône-Alpes;POLYCLINIQUE  DU BEAUJOLAIS;76.11;60.4;MCO_48H
700004591;700000011;Bourgogne-Franche-Comté;CHI HAUTE SAONE;;;MCO_48H
700004591;700000029;Bourgogne-Franche-Comté;CHI HAUTE SAONE;71.72;42.2;MCO_48H
700004591;700780059;Bourgogne-Franche-Comté;CHI HAUTE SAONE;;;MCO_48H
700780174;700780174;Bourgogne-Franche-Comté;CLINIQUE ST MARTIN;;;MCO_48H
700004591;700780208;Bourgogne-Franche-Comté;CHI HAUTE SAONE;;;MCO_48H
710006859;710006859;Bourgogne-Franche-Comté;POLYCLINIQUE DU VAL DE SAONE;79.22;75.8;MCO_48H
710780644;710010067;Bourgogne-Franche-Comté;CH PARAY-LE-MONIAL;73.56;52.0;MCO_48H
710781451;710010786;Bourgogne-Franche-Comté;CH AUTUN;;;MCO_48H
710780917;710780917;Bourgogne-Franche-Comté;HOPITAL PRIVE SAINTE MARIE;72.67;40.6;MCO_48H
710781410;710781410;Bourgogne-Franche-Comté;CLINIQUE DU PARC;79.84;88.6;MCO_48H
710781824;710781824;Bourgogne-Franche-Comté;CENTRE ORTHOPEDIQUE MEDICO-CHIRURGICAL;78.28;76.3;MCO_48H
710781592;710978107;Bourgogne-Franche-Comté;HOPITAL LOCAL CHAGNY;;;MCO_48H
710781568;710978255;Bourgogne-Franche-Comté;CH ALIGRE BOURBON LANCY;;;MCO_48H
710780958;710978263;Bourgogne-Franche-Comté;CH WILLIAM MOREY  CHALON-SUR-SAONE;72.61;53.3;MCO_48H
710780263;710978289;Bourgogne-Franche-Comté;CH LES CHANAUX MÂCON;71.78;43.0;MCO_48H
