finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
490000262;CLINIQUE SAINT JOSEPH;490000262;CLINIQUE SAINT JOSEPH;Pays de la Loire;1- Obligatoire;1- Oui;170.0;74.91;B;;170.0;75.05;170.0;82.23;170.0;81.7;170.0;76.06;170.0;58.39;170.0;64.44;68.8;170.0
490000676;CENTRE HOSPITALIER DE CHOLET;490000635;CH DE CHOLET;Pays de la Loire;1- Obligatoire;1- Oui;386.0;72.67;C;;386.0;72.6;386.0;80.67;386.0;77.56;386.0;71.79;386.0;62.53;386.0;62.04;46.2;385.0
490528452;CENTRE HOSPITALIER DE SAUMUR;490001765;CH DE SAUMUR;Pays de la Loire;1- Obligatoire;1- Oui;116.0;74.78;B;;116.0;75.79;116.0;82.37;116.0;79.36;116.0;72.19;116.0;66.9;116.0;64.04;62.9;116.0
490002037;POLYCLINIQUE DU PARC;490002037;POLYCLINIQUE DU PARC;Pays de la Loire;1- Obligatoire;1- Oui;620.0;76.15;B;;620.0;75.09;620.0;83.57;620.0;81.24;620.0;77.29;620.0;63.44;620.0;67.07;58.1;620.0
490007929;CLINIQUE CHIRURGICALE DE LA LOIRE POLE DE SANTE DU SAUMUROIS;490007929;CLINIQUE CHIRURGICALE DE LA LOIRE;Pays de la Loire;1- Obligatoire;1- Oui;87.0;75.87;B;;87.0;75.92;87.0;80.97;87.0;80.98;87.0;74.53;87.0;64.36;87.0;69.98;67.4;86.0
490014909;CLINIQUE DE L'ANJOU;490014909;CLINIQUE DE L'ANJOU;Pays de la Loire;1- Obligatoire;1- Oui;919.0;75.17;B;;919.0;75.18;919.0;82.15;919.0;80.62;919.0;73.91;919.0;65.52;919.0;64.73;63.6;917.0
490015906;CLINIQUE ST LEONARD;490015906;CLINIQUE ST LEONARD;Pays de la Loire;1- Obligatoire;1- Oui;259.0;79.6;A;;259.0;81.01;259.0;85.86;259.0;84.98;259.0;77.15;259.0;66.87;259.0;71.01;71.4;259.0
530000025;CENTRE HOSPITALIER INTERCOMMUNAL DU HAUT ANJOU;490020245;CH HAUT ANJOU SITE SEGRE;Pays de la Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
500000054;CENTRE HOSPITALIER D'AVRANCHES-GRANVILLE;500000021;CHAG - SITE AVRANCHES;Normandie;1- Obligatoire;1- Oui;170.0;72.3;C;;170.0;70.18;170.0;81.13;170.0;78.93;170.0;71.27;170.0;62.33;170.0;61.64;42.4;170.0
500000146;POLYCLINIQUE DE LA BAIE-ST MARTIN;500000146;HOPITAL PRIVÉ DE LA BAIE;Normandie;1- Obligatoire;1- Oui;103.0;73.58;C;;103.0;76.35;103.0;80.9;103.0;78.56;103.0;72.92;103.0;50.61;103.0;64.98;54.9;102.0
500000013;CENTRE HOSPITALIER PUBLIC DU COTENTIN;500000187;CHPC - SITE CHERBOURG;Normandie;1- Obligatoire;1- Oui;469.0;68.2;D;;469.0;65.03;469.0;78.77;469.0;75.02;469.0;66.8;469.0;63.82;469.0;54.44;39.0;469.0
500000203;POLYCLINIQUE DE LA MANCHE - SAINT-LO;500000203;POLYCLINIQUE DE LA MANCHE - SAINT-LO;Normandie;1- Obligatoire;1- Oui;78.0;77.8;A;;78.0;76.89;78.0;83.73;78.0;79.81;78.0;76.97;78.0;75.63;78.0;70.12;74.4;78.0
500000054;CENTRE HOSPITALIER D'AVRANCHES-GRANVILLE;500000260;CHAG - SITE GRANVILLE;Normandie;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
500000401;CLINIQUE HENRI GUILLARD - COUTANCES;500000401;CLINIQUE HENRI GUILLARD - COUTANCES;Normandie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
500000112;CENTRE HOSPITALIER MEMORIAL FRANCE ETATS - UNIS;500000450;CH MEMORIAL - SAINT-LO;Normandie;1- Obligatoire;1- Oui;304.0;73.98;C;;304.0;71.87;304.0;81.87;304.0;80.31;304.0;73.59;304.0;68.35;304.0;62.66;51.3;302.0
500000013;CENTRE HOSPITALIER PUBLIC DU COTENTIN;500000468;CHPC - SITE VALOGNES;Normandie;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
